timestamp,predicted_rainfall_mm,district
1/1/2025 0:00,9.5,Colombo
1/1/2025 1:00,0.55,Colombo
1/1/2025 2:00,0.89,Colombo
1/1/2025 3:00,0.0,Colombo
1/1/2025 4:00,6.46,Colombo
1/1/2025 5:00,0.0,Colombo
1/1/2025 6:00,9.98,Colombo
1/1/2025 7:00,0.0,Colombo
1/1/2025 8:00,4.28,Colombo
1/1/2025 9:00,2.0,Colombo
1/1/2025 10:00,8.85,Colombo
1/1/2025 11:00,0.0,Colombo
1/1/2025 12:00,1.71,Colombo
1/1/2025 13:00,1.46,Colombo
1/1/2025 14:00,7.54,Colombo
1/1/2025 15:00,0.0,Colombo
1/1/2025 16:00,2.31,Colombo
1/1/2025 17:00,0.0,Colombo
1/1/2025 18:00,3.17,Colombo
1/1/2025 19:00,5.33,Colombo
1/1/2025 20:00,0.0,Colombo
1/1/2025 21:00,7.58,Colombo
1/1/2025 22:00,6.61,Colombo
1/1/2025 23:00,5.01,Colombo
1/2/2025 0:00,6.6,Colombo
1/2/2025 1:00,0.27,Colombo
1/2/2025 2:00,2.51,Colombo
1/2/2025 3:00,0.0,Colombo
1/2/2025 4:00,1.93,Colombo
1/2/2025 5:00,5.12,Colombo
1/2/2025 6:00,0.23,Colombo
1/2/2025 7:00,1.41,Colombo
1/2/2025 8:00,0.25,Colombo
1/2/2025 9:00,0.0,Colombo
1/2/2025 10:00,0.32,Colombo
1/2/2025 11:00,2.95,Colombo
1/2/2025 12:00,0.0,Colombo
1/2/2025 13:00,3.94,Colombo
1/2/2025 14:00,9.64,Colombo
1/2/2025 15:00,5.97,Colombo
1/2/2025 16:00,2.23,Colombo
1/2/2025 17:00,0.0,Colombo
1/2/2025 18:00,0.01,Colombo
1/2/2025 19:00,9.77,Colombo
1/2/2025 20:00,3.2,Colombo
1/2/2025 21:00,0.45,Colombo
1/2/2025 22:00,3.76,Colombo
1/2/2025 23:00,11.4,Colombo
1/3/2025 0:00,3.48,Colombo
1/3/2025 1:00,5.47,Colombo
1/3/2025 2:00,4.2,Colombo
1/3/2025 3:00,1.59,Colombo
1/3/2025 4:00,0.0,Colombo
1/3/2025 5:00,1.6,Colombo
1/3/2025 6:00,2.16,Colombo
1/3/2025 7:00,5.35,Colombo
1/3/2025 8:00,6.36,Colombo
1/3/2025 9:00,6.72,Colombo
1/3/2025 10:00,4.14,Colombo
1/3/2025 11:00,6.54,Colombo
1/3/2025 12:00,0.0,Colombo
1/3/2025 13:00,8.01,Colombo
1/3/2025 14:00,5.05,Colombo
1/3/2025 15:00,1.81,Colombo
1/3/2025 16:00,4.95,Colombo
1/3/2025 17:00,2.7,Colombo
1/3/2025 18:00,7.53,Colombo
1/3/2025 19:00,9.08,Colombo
1/3/2025 20:00,11.74,Colombo
1/3/2025 21:00,0.0,Colombo
1/3/2025 22:00,0.0,Colombo
1/3/2025 23:00,0.98,Colombo
1/4/2025 0:00,3.64,Colombo
1/4/2025 1:00,6.5,Colombo
1/4/2025 2:00,4.26,Colombo
1/4/2025 3:00,0.0,Colombo
1/4/2025 4:00,1.78,Colombo
1/4/2025 5:00,6.31,Colombo
1/4/2025 6:00,3.92,Colombo
1/4/2025 7:00,6.05,Colombo
1/4/2025 8:00,2.11,Colombo
1/4/2025 9:00,2.2,Colombo
1/4/2025 10:00,3.75,Colombo
1/4/2025 11:00,4.64,Colombo
1/4/2025 12:00,3.79,Colombo
1/4/2025 13:00,3.48,Colombo
1/4/2025 14:00,0.32,Colombo
1/4/2025 15:00,4.51,Colombo
1/4/2025 16:00,3.49,Colombo
1/4/2025 17:00,7.52,Colombo
1/4/2025 18:00,7.8,Colombo
1/4/2025 19:00,3.74,Colombo
1/4/2025 20:00,1.5,Colombo
1/4/2025 21:00,0.45,Colombo
1/4/2025 22:00,4.69,Colombo
1/4/2025 23:00,3.31,Colombo
1/5/2025 0:00,1.62,Colombo
1/5/2025 1:00,3.17,Colombo
1/5/2025 2:00,0.52,Colombo
1/5/2025 3:00,5.79,Colombo
1/5/2025 4:00,1.21,Colombo
1/5/2025 5:00,7.9,Colombo
1/5/2025 6:00,4.61,Colombo
1/5/2025 7:00,5.37,Colombo
1/5/2025 8:00,0.0,Colombo
1/5/2025 9:00,3.68,Colombo
1/5/2025 10:00,5.96,Colombo
1/5/2025 11:00,0.0,Colombo
1/5/2025 12:00,1.94,Colombo
1/5/2025 13:00,3.13,Colombo
1/5/2025 14:00,0.0,Colombo
1/5/2025 15:00,4.26,Colombo
1/5/2025 16:00,6.38,Colombo
1/5/2025 17:00,0.0,Colombo
1/5/2025 18:00,4.4,Colombo
1/5/2025 19:00,0.0,Colombo
1/5/2025 20:00,2.85,Colombo
1/5/2025 21:00,0.0,Colombo
1/5/2025 22:00,7.49,Colombo
1/5/2025 23:00,4.64,Colombo
1/6/2025 0:00,2.9,Colombo
1/6/2025 1:00,0.0,Colombo
1/6/2025 2:00,8.1,Colombo
1/6/2025 3:00,10.87,Colombo
1/6/2025 4:00,0.0,Colombo
1/6/2025 5:00,7.94,Colombo
1/6/2025 6:00,9.51,Colombo
1/6/2025 7:00,4.35,Colombo
1/6/2025 8:00,0.0,Colombo
1/6/2025 9:00,6.45,Colombo
1/6/2025 10:00,2.28,Colombo
1/6/2025 11:00,0.58,Colombo
1/6/2025 12:00,0.0,Colombo
1/6/2025 13:00,5.2,Colombo
1/6/2025 14:00,6.17,Colombo
1/6/2025 15:00,0.51,Colombo
1/6/2025 16:00,5.08,Colombo
1/6/2025 17:00,0.0,Colombo
1/6/2025 18:00,6.21,Colombo
1/6/2025 19:00,3.19,Colombo
1/6/2025 20:00,2.25,Colombo
1/6/2025 21:00,2.59,Colombo
1/6/2025 22:00,6.48,Colombo
1/6/2025 23:00,6.0,Colombo
1/7/2025 0:00,5.12,Colombo
1/7/2025 1:00,3.55,Colombo
1/7/2025 2:00,3.31,Colombo
1/7/2025 3:00,5.47,Colombo
1/7/2025 4:00,3.93,Colombo
1/7/2025 5:00,5.73,Colombo
1/7/2025 6:00,1.76,Colombo
1/7/2025 7:00,0.0,Colombo
1/7/2025 8:00,7.16,Colombo
1/7/2025 9:00,11.75,Colombo
1/7/2025 10:00,4.77,Colombo
1/7/2025 11:00,2.6,Colombo
1/7/2025 12:00,2.45,Colombo
1/7/2025 13:00,2.52,Colombo
1/7/2025 14:00,3.07,Colombo
1/7/2025 15:00,0.0,Colombo
1/7/2025 16:00,0.93,Colombo
1/7/2025 17:00,0.0,Colombo
1/7/2025 18:00,4.0,Colombo
1/7/2025 19:00,1.81,Colombo
1/7/2025 20:00,4.98,Colombo
1/7/2025 21:00,2.3,Colombo
1/7/2025 22:00,6.95,Colombo
1/7/2025 23:00,3.85,Colombo
1/1/2025 0:00,9.5,Gampaha
1/1/2025 1:00,0.55,Gampaha
1/1/2025 2:00,0.89,Gampaha
1/1/2025 3:00,0.0,Gampaha
1/1/2025 4:00,6.46,Gampaha
1/1/2025 5:00,0.0,Gampaha
1/1/2025 6:00,9.98,Gampaha
1/1/2025 7:00,0.0,Gampaha
1/1/2025 8:00,4.28,Gampaha
1/1/2025 9:00,2.0,Gampaha
1/1/2025 10:00,8.85,Gampaha
1/1/2025 11:00,0.0,Gampaha
1/1/2025 12:00,1.71,Gampaha
1/1/2025 13:00,1.46,Gampaha
1/1/2025 14:00,7.54,Gampaha
1/1/2025 15:00,0.0,Gampaha
1/1/2025 16:00,2.31,Gampaha
1/1/2025 17:00,0.0,Gampaha
1/1/2025 18:00,3.17,Gampaha
1/1/2025 19:00,5.33,Gampaha
1/1/2025 20:00,0.0,Gampaha
1/1/2025 21:00,7.58,Gampaha
1/1/2025 22:00,6.61,Gampaha
1/1/2025 23:00,5.01,Gampaha
1/2/2025 0:00,6.6,Gampaha
1/2/2025 1:00,0.27,Gampaha
1/2/2025 2:00,2.51,Gampaha
1/2/2025 3:00,0.0,Gampaha
1/2/2025 4:00,1.93,Gampaha
1/2/2025 5:00,5.12,Gampaha
1/2/2025 6:00,0.23,Gampaha
1/2/2025 7:00,1.41,Gampaha
1/2/2025 8:00,0.25,Gampaha
1/2/2025 9:00,0.0,Gampaha
1/2/2025 10:00,0.32,Gampaha
1/2/2025 11:00,2.95,Gampaha
1/2/2025 12:00,0.0,Gampaha
1/2/2025 13:00,3.94,Gampaha
1/2/2025 14:00,9.64,Gampaha
1/2/2025 15:00,5.97,Gampaha
1/2/2025 16:00,2.23,Gampaha
1/2/2025 17:00,0.0,Gampaha
1/2/2025 18:00,0.01,Gampaha
1/2/2025 19:00,9.77,Gampaha
1/2/2025 20:00,3.2,Gampaha
1/2/2025 21:00,0.45,Gampaha
1/2/2025 22:00,3.76,Gampaha
1/2/2025 23:00,11.4,Gampaha
1/3/2025 0:00,3.48,Gampaha
1/3/2025 1:00,5.47,Gampaha
1/3/2025 2:00,4.2,Gampaha
1/3/2025 3:00,1.59,Gampaha
1/3/2025 4:00,0.0,Gampaha
1/3/2025 5:00,1.6,Gampaha
1/3/2025 6:00,2.16,Gampaha
1/3/2025 7:00,5.35,Gampaha
1/3/2025 8:00,6.36,Gampaha
1/3/2025 9:00,6.72,Gampaha
1/3/2025 10:00,4.14,Gampaha
1/3/2025 11:00,6.54,Gampaha
1/3/2025 12:00,0.0,Gampaha
1/3/2025 13:00,8.01,Gampaha
1/3/2025 14:00,5.05,Gampaha
1/3/2025 15:00,1.81,Gampaha
1/3/2025 16:00,4.95,Gampaha
1/3/2025 17:00,2.7,Gampaha
1/3/2025 18:00,7.53,Gampaha
1/3/2025 19:00,9.08,Gampaha
1/3/2025 20:00,11.74,Gampaha
1/3/2025 21:00,0.0,Gampaha
1/3/2025 22:00,0.0,Gampaha
1/3/2025 23:00,0.98,Gampaha
1/4/2025 0:00,3.64,Gampaha
1/4/2025 1:00,6.5,Gampaha
1/4/2025 2:00,4.26,Gampaha
1/4/2025 3:00,0.0,Gampaha
1/4/2025 4:00,1.78,Gampaha
1/4/2025 5:00,6.31,Gampaha
1/4/2025 6:00,3.92,Gampaha
1/4/2025 7:00,6.05,Gampaha
1/4/2025 8:00,2.11,Gampaha
1/4/2025 9:00,2.2,Gampaha
1/4/2025 10:00,3.75,Gampaha
1/4/2025 11:00,4.64,Gampaha
1/4/2025 12:00,3.79,Gampaha
1/4/2025 13:00,3.48,Gampaha
1/4/2025 14:00,0.32,Gampaha
1/4/2025 15:00,4.51,Gampaha
1/4/2025 16:00,3.49,Gampaha
1/4/2025 17:00,7.52,Gampaha
1/4/2025 18:00,7.8,Gampaha
1/4/2025 19:00,3.74,Gampaha
1/4/2025 20:00,1.5,Gampaha
1/4/2025 21:00,0.45,Gampaha
1/4/2025 22:00,4.69,Gampaha
1/4/2025 23:00,3.31,Gampaha
1/5/2025 0:00,1.62,Gampaha
1/5/2025 1:00,3.17,Gampaha
1/5/2025 2:00,0.52,Gampaha
1/5/2025 3:00,5.79,Gampaha
1/5/2025 4:00,1.21,Gampaha
1/5/2025 5:00,7.9,Gampaha
1/5/2025 6:00,4.61,Gampaha
1/5/2025 7:00,5.37,Gampaha
1/5/2025 8:00,0.0,Gampaha
1/5/2025 9:00,3.68,Gampaha
1/5/2025 10:00,5.96,Gampaha
1/5/2025 11:00,0.0,Gampaha
1/5/2025 12:00,1.94,Gampaha
1/5/2025 13:00,3.13,Gampaha
1/5/2025 14:00,0.0,Gampaha
1/5/2025 15:00,4.26,Gampaha
1/5/2025 16:00,6.38,Gampaha
1/5/2025 17:00,0.0,Gampaha
1/5/2025 18:00,4.4,Gampaha
1/5/2025 19:00,0.0,Gampaha
1/5/2025 20:00,2.85,Gampaha
1/5/2025 21:00,0.0,Gampaha
1/5/2025 22:00,7.49,Gampaha
1/5/2025 23:00,4.64,Gampaha
1/6/2025 0:00,2.9,Gampaha
1/6/2025 1:00,0.0,Gampaha
1/6/2025 2:00,8.1,Gampaha
1/6/2025 3:00,10.87,Gampaha
1/6/2025 4:00,0.0,Gampaha
1/6/2025 5:00,7.94,Gampaha
1/6/2025 6:00,9.51,Gampaha
1/6/2025 7:00,4.35,Gampaha
1/6/2025 8:00,0.0,Gampaha
1/6/2025 9:00,6.45,Gampaha
1/6/2025 10:00,2.28,Gampaha
1/6/2025 11:00,0.58,Gampaha
1/6/2025 12:00,0.0,Gampaha
1/6/2025 13:00,5.2,Gampaha
1/6/2025 14:00,6.17,Gampaha
1/6/2025 15:00,0.51,Gampaha
1/6/2025 16:00,5.08,Gampaha
1/6/2025 17:00,0.0,Gampaha
1/6/2025 18:00,6.21,Gampaha
1/6/2025 19:00,3.19,Gampaha
1/6/2025 20:00,2.25,Gampaha
1/6/2025 21:00,2.59,Gampaha
1/6/2025 22:00,6.48,Gampaha
1/6/2025 23:00,6.0,Gampaha
1/7/2025 0:00,5.12,Gampaha
1/7/2025 1:00,3.55,Gampaha
1/7/2025 2:00,3.31,Gampaha
1/7/2025 3:00,5.47,Gampaha
1/7/2025 4:00,3.93,Gampaha
1/7/2025 5:00,5.73,Gampaha
1/7/2025 6:00,1.76,Gampaha
1/7/2025 7:00,0.0,Gampaha
1/7/2025 8:00,7.16,Gampaha
1/7/2025 9:00,11.75,Gampaha
1/7/2025 10:00,4.77,Gampaha
1/7/2025 11:00,2.6,Gampaha
1/7/2025 12:00,2.45,Gampaha
1/7/2025 13:00,2.52,Gampaha
1/7/2025 14:00,3.07,Gampaha
1/7/2025 15:00,0.0,Gampaha
1/7/2025 16:00,0.93,Gampaha
1/7/2025 17:00,0.0,Gampaha
1/7/2025 18:00,4.0,Gampaha
1/7/2025 19:00,1.81,Gampaha
1/7/2025 20:00,4.98,Gampaha
1/7/2025 21:00,2.3,Gampaha
1/7/2025 22:00,6.95,Gampaha
1/7/2025 23:00,3.85,Gampaha
1/1/2025 0:00,9.5,Kalutara
1/1/2025 1:00,0.55,Kalutara
1/1/2025 2:00,0.89,Kalutara
1/1/2025 3:00,0.0,Kalutara
1/1/2025 4:00,6.46,Kalutara
1/1/2025 5:00,0.0,Kalutara
1/1/2025 6:00,9.98,Kalutara
1/1/2025 7:00,0.0,Kalutara
1/1/2025 8:00,4.28,Kalutara
1/1/2025 9:00,2.0,Kalutara
1/1/2025 10:00,8.85,Kalutara
1/1/2025 11:00,0.0,Kalutara
1/1/2025 12:00,1.71,Kalutara
1/1/2025 13:00,1.46,Kalutara
1/1/2025 14:00,7.54,Kalutara
1/1/2025 15:00,0.0,Kalutara
1/1/2025 16:00,2.31,Kalutara
1/1/2025 17:00,0.0,Kalutara
1/1/2025 18:00,3.17,Kalutara
1/1/2025 19:00,5.33,Kalutara
1/1/2025 20:00,0.0,Kalutara
1/1/2025 21:00,7.58,Kalutara
1/1/2025 22:00,6.61,Kalutara
1/1/2025 23:00,5.01,Kalutara
1/2/2025 0:00,6.6,Kalutara
1/2/2025 1:00,0.27,Kalutara
1/2/2025 2:00,2.51,Kalutara
1/2/2025 3:00,0.0,Kalutara
1/2/2025 4:00,1.93,Kalutara
1/2/2025 5:00,5.12,Kalutara
1/2/2025 6:00,0.23,Kalutara
1/2/2025 7:00,1.41,Kalutara
1/2/2025 8:00,0.25,Kalutara
1/2/2025 9:00,0.0,Kalutara
1/2/2025 10:00,0.32,Kalutara
1/2/2025 11:00,2.95,Kalutara
1/2/2025 12:00,0.0,Kalutara
1/2/2025 13:00,3.94,Kalutara
1/2/2025 14:00,9.64,Kalutara
1/2/2025 15:00,5.97,Kalutara
1/2/2025 16:00,2.23,Kalutara
1/2/2025 17:00,0.0,Kalutara
1/2/2025 18:00,0.01,Kalutara
1/2/2025 19:00,9.77,Kalutara
1/2/2025 20:00,3.2,Kalutara
1/2/2025 21:00,0.45,Kalutara
1/2/2025 22:00,3.76,Kalutara
1/2/2025 23:00,11.4,Kalutara
1/3/2025 0:00,3.48,Kalutara
1/3/2025 1:00,5.47,Kalutara
1/3/2025 2:00,4.2,Kalutara
1/3/2025 3:00,1.59,Kalutara
1/3/2025 4:00,0.0,Kalutara
1/3/2025 5:00,1.6,Kalutara
1/3/2025 6:00,2.16,Kalutara
1/3/2025 7:00,5.35,Kalutara
1/3/2025 8:00,6.36,Kalutara
1/3/2025 9:00,6.72,Kalutara
